Tiempo,Susceptibles,Infectados,Removidos
3.46,0.9997376304043153,0.0001649257516997462,9.744384398492575e-05
3.47,0.9997324954911242,0.00016839412563695927,9.911038323877652e-05
3.48,0.9997272422539634,0.00017194572529548582,0.00010081202074110291
3.49,0.9997218676657152,0.00017558273466201463,0.00010254959962271957
3.5,0.999716368615565,0.00017930739927427954,0.00010432398516066376
3.5100000000000002,0.9997107419065357,0.00018312202806132374,0.00010613606540286283
3.52,0.9997049842529468,0.00018702899524161424,0.00010798675181149203
3.5300000000000002,0.9996990922777934,0.00019103074228090449,0.00010987697992561086
3.54,0.9996930625100444,0.00019512977991180722,0.00011180771004368484
3.5500000000000003,0.9996868913818562,0.0001993286902171071,0.00011377992792662026
3.56,0.9996805752256991,0.00020363012877891096,0.00011579464552195945
3.5700000000000003,0.9996741102713942,0.00020803682689580577,0.00011785290170990592
3.58,0.9996674926430578,0.00021255159387026804,0.00011995576307187054
3.59,0.999660718355949,0.00021717731936864499,0.0001221043246822528
3.6,0.9996537833132196,0.0002219169758561073,0.00012429971092419494
3.61,0.9996466833025608,0.00022677362110905546,0.0001265430763300706
3.62,0.9996394139927449,0.00023175040080754625,0.00012883560644749598
3.63,0.9996319709300578,0.0002368505512103943,0.00013117851873167618
3.64,0.9996243495346193,0.0002420774019156944,0.00013357306346492773
3.65,0.999616545096586,0.00024743437870960495,0.00013602052470424516
3.66,0.9996085527722357,0.00025292500650632974,0.00013852222125780922
3.67,0.9996003675799261,0.0002585529123823368,0.0001410795076913636
3.68,0.9995919843959264,0.0002643218287079577,0.0001436937753654182
3.69,0.999583397950116,0.00027023559637961845,0.00014636645350426896
3.7,0.999574602821546,0.0002762981681560652,0.0001490990102978575
3.71,0.9995655934338603,0.0002825136121020645,0.00015189295403752714
3.72,0.9995563640505699,0.000288886115143177,0.00015474983428676896
3.73,0.9995469087701765,0.00029541998673532897,0.0001576712430880862
3.74,0.9995372215211398,0.0003021196626530333,0.0001606588162071447
3.75,0.9995272960566843,0.00030898970890024565,0.0001637142344154156
3.7600000000000002,0.9995171259494394,0.0003160348257479796,0.00016683922481255692
3.77,0.9995067045859072,0.00032325985190294614,0.0001700355621898232
3.7800000000000002,0.9994960251607525,0.0003306697688116325,0.00017330507043583504
3.79,0.9994850806709096,0.00033826970510438583,0.0001766496239860859
3.8000000000000003,0.9994738639094982,0.0003460649411842284,0.0001800711493176095
3.81,0.9994623674595445,0.00035406091396529235,0.00018357162649027981
3.8200000000000003,0.999450583687498,0.0003622632217659337,0.00018715309073626433
3.83,0.9994385047365392,0.00037067762936175995,0.00019081763409920427
3.84,0.9994261225196714,0.00037931007320398747,0.00019456740712474706
3.85,0.9994134287125873,0.00038816666680873427,0.00019840462060411284
3.86,0.9994004147463047,0.000397253706323047,0.00020233154737243263
3.87,0.9993870717995629,0.00040657767627366444,0.0002063505241636559
3.88,0.9993733907909715,0.000416145255504727,0.0002104639535238854
3.89,0.9993593623709043,0.00042596332331085987,0.00021467430578506086
3.9,0.999344976913127,0.00043603896577227934,0.00021898412110097823
3.91,0.9993302245061537,0.00044637948229880485,0.00022339601154769905
3.92,0.9993150949443198,0.00045699239238989844,0.00022791266329047434
3.93,0.9992995777185627,0.0004678854426181019,0.00023253683881938007
3.94,0.9992836620069008,0.00047906661384349865,0.00023727137925593585
3.95,0.9992673366646001,0.0004905441286670929,0.00024211920673305654
3.96,0.9992505902140182,0.0005023264591312752,0.00024708332685076666
3.97,0.9992334108341142,0.0005144223346758258,0.0002521668312101902
3.98,0.9992157863496136,0.0005268407503582059,0.000257372900028415
3.99,0.9991977042198161,0.0005395909753471871,0.0002627048048369193
4.0,0.9991791515270347,0.00055268256169919,0.00026816591126634077
4.01,0.9991601149646527,0.0005661253534270255,0.00027375968192046334
4.0200000000000005,0.9991405808247867,0.0005799294958710732,0.00027948967934239506
4.03,0.9991205349855409,0.0005941054453832792,0.0002853595690760139
4.04,0.9990999628978395,0.0006086639793347189,0.0002913731228258628
4.05,0.9990788495718235,0.0006236162064578439,0.00029753422171878435
4.0600000000000005,0.9990571795627945,0.0006389735775349205,0.00030384685967070027
4.07,0.9990349369566935,0.0006547478964445657,0.0003103151468620558
4.08,0.9990121053550959,0.000670951331578704,0.00031694331332557174
4.09,0.9989886678597074,0.0006875964276426954,0.00032373571265007173
4.1,0.998964607056344,0.0007046961178518284,0.0003306968258042821
4.11,0.9989399049983777,0.0007222637365378307,0.00033783126508463553
4.12,0.9989145431896294,0.0007403130321795245,0.0003451437781912494
4.13,0.9988885025666915,0.0007588581808722435,0.00035263925243639283
4.14,0.998861763480659,0.0007779138002511357,0.00036032271908990486
4.15,0.9988343056782499,0.0007974949638840005,0.00036819935786618096
4.16,0.9988061082822928,0.0008176172161498489,0.0003762745015575037
4.17,0.9987771497715615,0.0008382965876199379,0.00038455364081865746
4.18,0.9987474079599336,0.000859549610958608,0.000393042429107939
